Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-03-10,106.51,101.15306336,0.9878568922283485,0.025709826742251425,0.974290173257749,green,106.51,106.51,106.51,-0.003999108420556228
1980-03-11,107.78,101.18318672,1.001964047616931,0.024697024122223576,0.9753029758777768,green,107.78,107.78,107.78,0.011509067205734648
1980-03-12,106.87,101.2132776,0.9973658452360843,0.02336586308928399,0.9766341369107163,green,106.87,106.87,106.87,-0.00882313781311721
1980-03-13,105.62,101.24327296,1.0099975529742802,0.01874975641622044,0.9812502435837798,green,105.62,105.62,105.62,-0.0121095631026561
1980-03-14,105.43,101.27315279999999,0.968997675325566,0.014652597746065742,0.9853474022539346,green,105.43,105.43,105.43,-0.0021446895345654735
1980-03-18,104.1,101.33245984000001,1.1170954019813228,0.0009324049558453413,0.9990675950441551,green,104.1,104.1,104.1,0.017489218124483945
1980-03-19,104.31,101.36188464,1.071740631882257,0.0043788309719120615,0.9956211690280884,green,104.31,104.31,104.31,0.00167109122237906
1980-03-20,103.12,101.39114239999999,1.077653600288144,0.003994388703575794,0.9960056112964246,green,103.12,103.12,103.12,-0.011818043901537323
1980-03-24,99.28,101.44906288,1.1625573742600503,0.00018417871123586237,0.9998158212887647,red,99.28,99.28,99.28,-0.030407446839127387
1980-03-25,99.19,101.47762592000001,1.108929505547048,0.01449540509110418,0.9855045949088963,red,99.19,99.19,99.19,-0.0012511059830851308
1980-03-26,98.68,101.50592464,1.0789830302696952,0.018318447229442317,0.981681552770558,red,98.68,98.68,98.68,-0.005499078941359403
1980-03-27,98.22,101.53398111999999,1.0480338787562107,0.01709192693292742,0.9829080730670731,red,98.22,98.22,98.22,-0.005016598894677697
1980-04-07,100.19,101.69808416000001,1.0725946388114558,0.06421040231182851,0.9357895976881719,red,100.19,100.19,100.19,-0.01971810583702017
1980-04-09,103.11,101.75116192,1.111491661527339,0.08943641039404866,0.9105635896059519,green,103.11,103.11,103.11,0.018353454831929898
1980-04-10,104.08,101.77754048000001,1.104417078450972,0.15954819639980777,0.8404518036001928,green,104.08,104.08,104.08,0.009019286829838333
1980-04-11,103.79,101.8038456,1.063696224528423,0.20808642803588173,0.7919135719641188,green,103.79,103.79,103.79,-0.0031343750716910806
1980-04-18,100.55,101.93405472,0.9682205962058139,0.19057120231232816,0.809428797687672,red,100.55,100.55,100.55,-0.005304495475545194
1980-04-21,99.8,101.95978288,0.9573095663955232,0.12571839452316022,0.8742816054768401,red,99.8,99.8,99.8,-0.00783110074582485
1980-04-22,103.43,101.9854352,1.0909440880757475,0.016151591462624536,0.9838484085373758,green,103.43,103.43,103.43,0.03538270422771615
1980-04-23,103.73,102.01104560000002,1.05139688367196,0.5792898876472632,0.4207101123527371,blue,103.73,103.73,103.73,0.002552146209467735
1980-04-24,104.4,102.0366248,1.0323270394883621,0.7951694617470619,0.20483053825293843,blue,104.4,104.4,104.4,0.006094138160234352
1980-04-25,105.16,102.06217072,1.0187106875139436,0.9014283574208214,0.09857164257917908,blue,105.16,105.16,105.16,0.00690915656855685
1980-04-28,105.64,102.087688,0.9917751531382466,0.9585608278704874,0.04143917212951312,blue,105.64,105.64,105.64,0.004209919722635949
1980-04-29,105.86,102.11318848,0.9531863954813342,0.9825736827226461,0.01742631727735422,blue,105.86,105.86,105.86,0.0017362111562917487
1980-04-30,106.29,102.13867072,0.9270270757072678,0.9914226741585402,0.008577325841459935,blue,106.29,106.29,106.29,0.003709573271030325
1980-05-01,105.46,102.16415264,0.922175721921905,0.9948542974925794,0.005145702507420797,blue,105.46,105.46,105.46,-0.008183641287787922
1980-05-02,105.58,102.18968992,0.88206693582581,0.9971943359248139,0.002805664075186093,blue,105.58,105.58,105.58,0.0007930574485262167
1980-05-05,106.38,102.21531104,0.8779635890345194,0.9977398458825029,0.0022601541174971673,blue,106.38,106.38,106.38,0.007204462074083318
1980-05-06,106.25,102.24101856,0.8405654095827932,0.9979281077976327,0.0020718922023675677,blue,106.25,106.25,106.25,-0.0015669493542823606
1980-05-07,107.18,102.26686848,0.8450371391036539,0.9970079652230406,0.002992034776959516,blue,107.18,107.18,107.18,0.008370688417611969
1980-05-08,106.13,102.29285344,0.8552852821484718,0.9958088617556758,0.004191138244324119,blue,106.13,106.13,106.13,-0.01018907413756749
1980-05-09,104.72,102.3189696,0.883021018041048,0.9949398672195058,0.0050601327804942675,blue,104.72,104.72,104.72,-0.01371880401669387
1980-05-12,104.78,102.34519968000001,0.8418699671389958,0.9963584069403613,0.0036415930596389017,blue,104.78,104.78,104.78,0.00022862453382475163
1980-05-13,106.3,102.37155104,0.8757764687820458,0.9959895302357962,0.004010469764204047,blue,106.3,106.3,106.3,0.014058203523245171
1980-05-14,106.85,102.39799936,0.8594876453429434,0.9980150762860059,0.0019849237139941494,blue,106.85,106.85,106.85,0.004816528572675817
1980-05-15,106.99,102.42453056,0.8235132630757963,0.998942760531161,0.0010572394688390338,blue,106.99,106.99,106.99,0.0009652225407327245
1980-05-16,107.35,102.45112816,0.8003375999220065,0.9992010318229787,0.0007989681770214229,blue,107.35,107.35,107.35,0.0030149843296398055
1980-05-19,107.67,102.47778096,0.7763207199259066,0.9991541689163906,0.0008458310836095275,blue,107.67,107.67,107.67,0.0026323016582407185
1980-05-20,107.62,102.50450479999999,0.7400046839296112,0.998733060213769,0.0012669397862314215,blue,107.62,107.62,107.62,-0.0008086576109662914
