Date, Open, High, Low, Close,LN_Return
04/23/86,241.75,242.38,240.13,241.75,-0.002767625
04/22/86,242.42,245.42,241.42,242.42,-0.009524664
04/21/86,244.74,244.74,241.99,244.74,0.00968968
04/18/86,242.38,243.38,241.75,242.38,-0.00267815
04/17/86,243.03,243.28,241.91,243.03,0.003338488
04/16/86,242.22,242.47,237.84,242.22,0.018710828
04/15/86,237.73,237.98,236.73,237.73,0.001894698
04/14/86,237.28,237.41,235.53,237.28,0.0055362
4/11/86,235.97,237.84,235.22,235.97,-0.001989798
4/10/86,236.44,236.44,233.81,236.44,0.011442308
4/9/86,233.75,235.5,232.25,233.75,0.000984442
4/8/86,233.52,233.65,228.65,233.52,0.02116275
4/7/86,228.63,228.75,226.38,228.63,-0.000262398
4/4/86,228.69,232.44,228.44,228.69,-0.01639381
4/3/86,232.47,236.34,232.09,232.47,-0.013841051
4/2/86,235.71,235.71,233.46,235.71,0.002421154
4/1/86,235.14,239.01,234.64,235.14,-0.015863973
03/31/86,238.9,239.78,238.15,238.9,-0.000292967
03/27/86,238.97,240.09,237.34,238.97,0.007012858
03/26/86,237.3,237.68,234.8,237.3,0.010931849
03/25/86,234.72,235.22,233.72,234.72,-0.00259547
03/24/86,235.33,235.33,232.96,235.33,0.008492167
03/21/86,233.34,237.34,233.34,233.34,-0.013620709
03/20/86,236.54,237.04,235.66,236.54,0.003981875
03/19/86,235.6,236.47,235.22,235.6,-0.000763715
03/18/86,235.78,236.53,234.16,235.78,0.004718895
03/17/86,234.67,236.54,233.79,234.67,-0.00797933
03/14/86,236.55,236.55,232.68,236.55,0.01430603
03/13/86,233.19,233.81,231.31,233.19,0.002920337
3/12/86,232.51,234.66,231.79,232.51,0.003532964
3/11/86,231.69,231.69,226.69,231.69,0.022302188
3/10/86,226.58,226.96,225.46,226.58,0.004467551
3/7/86,225.57,226.32,224.44,225.57,0.001952519
3/6/86,225.13,225.38,224.13,225.13,0.003515255
3/5/86,224.34,224.34,222.22,224.34,-0.000178285
3/4/86,224.38,227.25,224,224.38,-0.004624286
3/3/86,225.42,226.92,224.42,225.42,-0.006632204
02/28/86,226.92,227.92,225.42,226.92,0.000661244
02/27/86,226.77,226.77,223.52,226.77,0.012111681
02/26/86,224.04,224.54,223.16,224.04,0.001116495
02/25/86,223.79,224.29,222.66,223.79,-0.002454646
02/24/86,224.34,225.22,223.34,224.34,-0.001247327
02/21/86,224.62,224.62,222.25,224.62,0.010742203
02/20/86,222.22,222.22,219.22,222.22,0.01113184
02/19/86,219.76,222.88,219.76,219.76,-0.012166315
02/18/86,222.45,222.45,219.32,222.45,0.012166315
02/14/86,219.76,219.76,217.26,219.76,0.010797067
02/13/86,217.4,217.4,215.4,217.4,0.006599466
2/12/86,215.97,216.22,215.22,215.97,0.00023154
2/11/86,215.92,216.67,215.54,215.92,-0.001480933
2/10/86,216.24,216.24,214.49,216.24,0.007799482
2/7/86,214.56,215.19,211.19,214.56,0.005093112
2/6/86,213.47,214.09,212.72,213.47,0.002391953
2/5/86,212.96,212.96,211.21,212.96,0.000798591
2/4/86,212.79,214.54,210.91,212.79,-0.005483318
2/3/86,213.96,214.09,211.71,213.96,0.010241082
01/31/86,211.78,212.41,209.28,211.78,0.011636046
01/30/86,209.33,211.46,209.21,209.33,-0.004575576
01/29/86,210.29,212.29,209.91,210.29,0.002285171
01/28/86,209.81,209.81,207.44,209.81,0.011601281
01/27/86,207.39,207.64,206.51,207.39,0.004639707
01/24/86,206.43,206.43,204.31,206.43,0.010616638
01/23/86,204.25,204.38,202.63,204.25,0.00372787
